,factor_7
CD38-2,3.4446075
CD38-1,3.4081366
Podoplanin,2.6447892
GP130,2.5697448
MERTK,2.4935684
CD252,2.4776068
LOX-1,2.417341
Galectin-9,2.3654048
CD90(Thy1),2.3556898
CD115,2.3455393
CD138-1(Syndecan-1),2.338079
Siglec-8,2.323953
CD324,2.304552
CD163,2.244023
CD66b,2.1985185
CD68,2.158978
CD202b,2.1424887
CD223,2.0863588
CD138-2,2.0639627
CD45RA,2.0389075
CD16,1.9959369
CD325,1.9532558
CD61,1.9504542
CD203c,1.9460222
CD294,1.8959426
CD105,1.8892137
CD122,1.8607901
CD124,1.8021264
CD62P,1.8011186
CD41,1.7667229
XCR1,1.753871
TIM-4,1.7494578
CD357,1.7400393
CD272,1.7317442
CD9,1.708769
CD204,1.7030103
CD338,1.6918011
TSLPR,1.6685739
CD169,1.63716
Folate_Receptor,1.6259542
Notch3,1.6103563
CD141,1.6077394
integrin_7,1.607554
CD275-2,1.605878
CD309,1.598847
CD235ab,1.5886226
CD140b,1.5850573
CD199,1.5674087
CD269(BCMA),1.5611687
CD24,1.5369695
CD178,1.5352635
CD133-1,1.5020795
CD34,1.4950416
CD193,1.4771708
CD79a,1.4645298
CD154,1.46353
CD62E,1.4606253
CD370,1.4410384
C5L2,1.4395318
CD30,1.414707
CD201,1.4105898
CD85g,1.4051603
CD243,1.396566
CD307d,1.3759606
CD79b,1.3683258
CD135,1.3603889
CD301,1.3560308
CD57_Recombinant,1.3267847
CD184,1.321723
CD275-1,1.2972133
CD200,1.2743078
CX3CR1,1.2710636
VEGFR3,1.2590774
CD235a,1.2558091
CD66a/c/e,1.2249068
CD144,1.2191952
CD1a,1.2184728
CD140a,1.162813
CD335,1.1525729
B7-H4,1.1509693
CD11c,1.1468722
CD45RB,1.1404518
IgM,1.1114453
CD206,1.0997117
CD103,1.0976746
CD1d,1.0763773
CD303,1.0496374
CD117(c-kit),1.0467603
CD155(PVR),1.0324767
CD11b-1,1.031359
CD186,0.98827386
CCR10,0.9871668
CD158e1,0.97739726
CD366,0.96024674
CD123,0.95028114
CD158,0.9467074
CD112(Nectin-2),0.94186294
Notch1,0.93641007
CD31,0.92896634
CD14,0.9270636
