,factor_6
CD48,7.686263
CD2,7.0462794
CD52,6.757411
CD45-2,6.502758
CD28,6.4956756
CD278,6.448137
CD47,6.117579
CD102,5.896285
CD81,5.767152
CD3-1,5.566242
CD44-2,5.385044
CD71,5.366549
CD26,5.207931
CD44-1,4.930823
CD99,4.8899965
CD46,4.853979
CD4-1,4.693053
CD109,4.6196237
CD27,4.5237994
CD45-1,4.4746165
CD307e,4.3226852
CD45RB,4.3125625
CD106,4.304778
CD3-2,4.2590446
CD59,4.2540207
CD144,4.1877537
CD209,4.153473
CD95,4.0852933
CD4-2,3.9812353
CD110,3.9563327
CD226,3.94734
CD98,3.9237325
CD200,3.7906003
CD55,3.7289875
Notch1,3.6814632
CD134,3.674194
CD205,3.6277022
CD25,3.5424037
CD270,3.3709102
CD325,3.1879811
CD107a,3.1729941
CD119,3.0426333
CD194,2.972689
CD192,2.8275924
CD126,2.686396
CD340,2.6776922
CLEC1B,2.666138
CD133-2,2.5832305
CD69,2.5747578
CD206,2.5571265
CD18,2.5192451
CD146,2.4371665
CD223,2.4221418
CD274,2.396601
CCR10,2.3553226
CD45RO,2.2385383
CD42b,2.0687149
CD14,2.044768
CD279,1.9943944
CD96,1.9875257
CD49d,1.9745651
Cadherin11,1.8861048
CD186,1.8834759
CD357,1.8468097
CD29,1.8342954
CD142,1.82642
CD338,1.7487116
Siglec-8,1.7283092
TCR_V_24-J_18,1.7231252
CD195,1.6650658
CD163,1.6580229
CD324,1.6461953
CD19,1.5819093
CD66a/c/e,1.5601603
CD62P,1.5207183
CD90(Thy1),1.5194551
CD80,1.512181
CD83,1.5118184
CD202b,1.5113643
CD199,1.5028553
CD1a,1.4887524
CD133-1,1.474369
CD152,1.4571228
CD137,1.422481
CD366,1.4099168
CD79a,1.4022015
CD201,1.3917061
CD243,1.3469673
CD30,1.3443123
CX3CR1,1.1929876
CD158e1,1.1787916
CD64,1.1000892
CD294,1.0913223
CD271,1.0865713
CD127,1.0716932
CD13,1.0424702
CD370,1.0103649
Notch3,0.9921033
CD303,0.98054045
CD138-1(Syndecan-1),0.9457811
