,score
CD63,6.850210781615715
CD38-2,6.328243017666125
CD71,6.277036057066937
CD54,6.2408355324621425
CD123,6.115182522587531
CD25,6.052194831708675
CD31,5.98941278329454
CD69,5.932066848730415
CD38-1,5.644581166655428
CD305,5.5995111931374595
CD141,5.508357438684868
CD9,5.462552814912499
CD45RA,5.418345148927756
CD39,5.412244919195302
CD86,5.220633330563828
CD28,5.205864823894558
CD14,5.144045420641362
CD200,5.0984429622872085
CD64,5.023507642896448
HLA-DR,4.932416475280945
CD98,4.872385764094076
CD274,4.791971612853388
CD107a,4.664231381633954
CD119,4.643946292324131
CD137,4.629854319560536
CD93,4.5977795589943184
CD16,4.58876904133723
CD205,4.388986890140075
CD253,4.2784192948876125
CD194,4.26468297430938
CD142,4.0835810070995535
CD366,4.06624122453988
Notch1,3.851499080755218
CD59,3.4220642169183577
