cellid	pop
cell_1	1
cell_2	1
cell_3	1
cell_5	1
cell_9	1
cell_11	1
cell_14	1
cell_15	1
cell_16	1
cell_17	1
cell_18	1
cell_21	1
cell_22	1
cell_23	1
cell_24	1
cell_28	1
cell_31	1
cell_37	1
cell_38	1
cell_40	1
cell_44	1
cell_55	1
cell_58	1
cell_59	1
cell_60	1
cell_63	1
cell_65	1
cell_67	1
cell_68	1
cell_74	1
cell_76	1
cell_78	1
cell_79	1
cell_80	1
cell_82	1
cell_83	1
cell_87	1
cell_88	1
cell_89	1
cell_90	1
cell_93	1
cell_94	1
cell_96	1
cell_99	1
cell_100	1
cell_101	1
cell_102	1
cell_107	1
cell_109	1
cell_111	1
cell_115	1
cell_119	1
cell_123	1
cell_126	1
cell_127	1
cell_128	1
cell_130	1
cell_131	1
cell_136	1
cell_137	1
cell_140	1
cell_142	1
cell_143	1
cell_148	1
cell_149	1
cell_150	1
cell_153	1
cell_158	1
cell_159	1
cell_165	1
cell_166	1
cell_168	1
cell_169	1
cell_170	1
cell_172	1
cell_173	1
cell_175	1
cell_178	1
cell_181	1
cell_182	1
cell_186	1
cell_187	1
cell_189	1
cell_190	1
cell_193	1
cell_194	1
cell_196	1
cell_197	1
cell_199	1
cell_201	1
cell_203	1
cell_204	1
cell_205	1
cell_207	1
cell_208	1
cell_212	1
cell_215	1
cell_216	1
cell_217	1
cell_218	1
cell_219	1
cell_223	1
cell_225	1
cell_226	1
cell_228	1
cell_229	1
cell_231	1
cell_234	1
cell_235	1
cell_237	1
cell_241	1
cell_242	1
cell_245	1
cell_247	1
cell_250	1
cell_252	1
cell_253	1
cell_254	1
cell_259	1
cell_261	1
cell_262	1
cell_266	1
cell_267	1
cell_270	1
cell_274	1
cell_275	1
cell_276	1
cell_277	1
cell_280	1
cell_281	1
cell_283	1
cell_285	1
cell_287	1
cell_289	1
cell_292	1
cell_294	1
cell_296	1
cell_297	1
cell_298	1
cell_299	1
cell_300	1
cell_302	1
cell_303	1
cell_304	1
cell_305	1
cell_306	1
cell_310	1
cell_311	1
cell_312	1
cell_315	1
cell_318	1
cell_320	1
cell_322	1
cell_324	1
cell_325	1
cell_329	1
cell_333	1
cell_337	1
cell_338	1
cell_339	1
cell_341	1
cell_342	1
cell_343	1
cell_344	1
cell_345	1
cell_347	1
cell_351	1
cell_352	1
cell_354	1
cell_355	1
cell_356	1
cell_360	1
cell_361	1
cell_362	1
cell_368	1
cell_374	1
cell_375	1
cell_378	1
cell_382	1
cell_383	1
cell_385	1
cell_386	1
cell_388	1
cell_390	1
cell_391	1
cell_393	1
cell_395	1
cell_396	1
cell_397	1
cell_399	1
cell_401	1
cell_402	1
cell_407	1
cell_410	1
cell_411	1
cell_413	1
cell_418	1
cell_419	1
cell_420	1
cell_421	1
cell_422	1
cell_423	1
cell_424	1
cell_425	1
cell_426	1
cell_429	1
cell_430	1
cell_431	1
