,factor_9
LYZ,1.4104947
CPM,1.3865285
DCUN1D2,1.3801614
TMC5,1.3596951
ATP10B,1.359396
LRG1,1.3366547
L2HGDH,1.3314166
RASGRP3,1.3153702
CYP3A5,1.314935
CA5B,1.3137425
NAIF1,1.2973887
TRIM14,1.2886653
RAB11FIP4,1.2862239
SPIRE2,1.2851847
METTL21A,1.280807
PRRG4,1.2798855
SMYD4,1.2735289
GRHL1,1.2713702
LRRC57,1.268609
ERBB3,1.2685735
PNPT1,1.2681046
TPD52L1,1.2676116
CAMK1D,1.267187
MLPH,1.2643453
C4orf19,1.262884
TMPRSS2,1.2598269
STK10,1.2593995
FBXO27,1.2571305
USP54,1.2539645
GATM,1.253762
SRSF12,1.2534496
CXorf38,1.2505609
PPP1R3B,1.2498904
PIGR,1.243931
RAB27A,1.2390975
MACC1,1.2385578
DAPK2,1.2353129
NCMAP,1.235084
SGSM1,1.2347896
SLC44A4,1.2342224
HINFP,1.2331853
NMNAT1,1.2284625
C3,1.2281761
MARVELD3,1.2268434
CTSS,1.2242862
PBLD,1.2232211
NMT2,1.2229656
UBOX5,1.2191528
IRF1,1.2154249
A1CF,1.2130698
AOX1,1.2119483
IGFBP2,1.2113984
UGT8,1.2113543
COX18,1.2101088
CA12,1.2083021
ALDH5A1,1.2072212
PRKX,1.2052182
FXN,1.2035674
GMEB1,1.2034189
SEMA3E,1.2030172
FAM221A,1.2025541
REL,1.2021638
PDP2,1.1996057
METTL2B,1.1985862
BIRC3,1.1973681
TMEM56,1.1973221
CFB,1.1965032
DTD2,1.194076
SLC7A14,1.1933978
EHHADH,1.1928692
GTF2H2C,1.1903657
MPP7,1.1897464
NAA16,1.1891117
PPARA,1.1881559
TMEM130,1.1877378
GALM,1.18692
GPR155,1.1849418
OPA3,1.1849257
MED18,1.1846751
RASSF6,1.1835988
SORBS1,1.1827705
GTPBP10,1.182365
CNNM1,1.1818221
NME6,1.1817536
IMPA2,1.1809437
OLFM4,1.1806129
ABCC10,1.178194
MUC1,1.1779392
RND1,1.1775006
STAP2,1.175909
RASEF,1.1744497
CEACAM1,1.174446
LIAS,1.1742499
NR5A2,1.1741323
FLVCR1,1.1736304
ATP9B,1.1720957
BPNT1,1.1711328
POC1B,1.170178
CXorf56,1.1696163
MYO5C,1.1690564
