,factor_8
ADCYAP1,1.6602349
HADH,1.6591542
NPTX2,1.6417929
PCSK1,1.6095567
INS,1.6078571
SYT13,1.6068662
MAFA,1.6048683
PDX1,1.597309
SORL1,1.5970314
IAPP,1.5774993
CASR,1.5207473
TGFBR3,1.4969907
PFKFB2,1.4349041
ENTPD3,1.4347119
BMP5,1.4297444
DLK1,1.421077
UCHL1,1.402459
MEG3,1.3981388
ABCC8,1.3952521
C1orf127,1.3940437
SAMD11,1.3930259
RBP4,1.371235
ELMO1,1.3548945
CADM1,1.3389052
VAT1L,1.3305475
GAD2,1.3253605
SLC6A17,1.3241245
CYP2U1,1.3199396
MAPT,1.316493
SCD5,1.3128862
ATP2A3,1.2921213
PKIB,1.283961
CYYR1,1.2832032
ELAVL4,1.2801502
PRUNE2,1.2750195
SUSD4,1.2699329
TAGLN3,1.2583306
RGS16,1.258247
PLCXD3,1.2567167
PIPOX,1.2314701
CDKN1C,1.231052
DHRS2,1.2306228
MEIS2,1.2203654
G6PC2,1.2203245
PLCB4,1.2203014
FFAR4,1.219042
FXYD2,1.2139169
INSM1,1.2114078
CAPN13,1.20947
C1QL1,1.1908567
TSPAN1,1.1878244
VWDE,1.1871521
SYT7,1.1858758
HDAC9,1.1818018
SIX2,1.1734729
TMEM37,1.1691071
GCGR,1.1635592
SIPA1L2,1.1626745
SYNE2,1.1587119
C14orf132,1.1528296
BHLHE41,1.1524332
ATRNL1,1.1515354
SLC2A13,1.1457297
IL20RA,1.1414196
RASD1,1.1384488
ROBO2,1.1348764
SIX3,1.1295471
SCGN,1.1292783
PLEKHA6,1.1290481
PCLO,1.1218352
MTUS2,1.1216068
PRKACB,1.1182824
FAM222A,1.1175351
NDRG4,1.1134802
STX1A,1.1119444
SYBU,1.1117425
OLFM1,1.1111076
TUBB2B,1.1100776
TMED6,1.1086919
RRAGD,1.1060754
ITPR3,1.1059593
ANO5,1.1041055
MLXIPL,1.1039082
PRSS23,1.1021581
NR0B1,1.093508
ENO2,1.0901737
MAN1C1,1.0876911
NEFM,1.0858842
SMAD9,1.0826542
SLC6A6,1.0820678
TFCP2L1,1.0806878
RASGRF1,1.0803037
KLHDC8A,1.0782989
GLCCI1,1.0776337
ARHGEF3,1.068796
ALCAM,1.0681075
MNX1,1.067614
MPP1,1.0674983
EDN3,1.0674419
RAPH1,1.0664703
