,factor_3
IRX2,1.1620612
CRYBA2,1.1582593
FEV,1.1570306
VGF,1.1552914
ARX,1.1415758
TTR,1.1330479
PCSK2,1.1089467
LOXL4,1.1050638
VSTM2L,1.082627
SLC22A17,1.07705
F10,1.0627356
SMOC1,1.057994
CALY,1.057885
TM4SF4,1.0527811
CHGB,1.0514592
C5orf38,1.046113
PTPRT,1.0430444
TMEM176A,1.0406392
GCG,1.0398176
PAPPA2,1.0384483
KCTD12,1.0290425
GC,1.0217394
TMEM176B,1.0128201
FXYD6,1.0092815
RGS4,1.0066553
GPX3,1.0040914
SLC38A4,1.001249
KCNA5,0.99608207
CNIH2,0.9854346
VWA5B2,0.97488
SLC29A4,0.9676228
DPP4,0.9660784
CACNA2D2,0.96339476
PLCE1,0.96139026
SPTSSB,0.9537447
CHGA,0.9527644
CRH,0.9503027
FABP5,0.9481721
CELF3,0.9450539
FSTL5,0.94113535
POPDC3,0.9407254
FAP,0.9378303
FAM131C,0.9308374
CACNA1A,0.9294437
APOH,0.92679834
SLC8A2,0.9261061
FAM84A,0.91925335
PPP2R2B,0.91924685
KLHL41,0.919166
PPP1R1A,0.9146396
LGI3,0.91440046
GADD45G,0.91202885
CFC1,0.9113132
PCSK1N,0.9066249
CPLX1,0.90651834
PTP4A3,0.9055095
PTPRN2,0.90538734
USH1C,0.9031825
CD99L2,0.9008181
TMEM164,0.89819866
SCG2,0.8977645
MARCH4,0.89028436
KIF12,0.8851494
SYT5,0.884121
FXYD5,0.8823192
CPLX2,0.8807885
ARRDC4,0.8800877
PSD,0.8779804
KCNJ3,0.8757576
GCH1,0.87521255
MAFB,0.8748586
CDK5R2,0.8739986
TP53I13,0.8732606
REC8,0.8697282
C2CD4B,0.8637463
ADCY1,0.8631294
PELI3,0.86199224
PCDH17,0.86024183
PHLDB3,0.8597343
FXYD3,0.85713845
FBLL1,0.853764
PGR,0.8530773
ZNF467,0.8484515
ZDHHC14,0.84669787
EMC10,0.8463789
SERPINA1,0.8449222
KCNJ6,0.84422654
SEZ6L,0.8439999
SERPINE2,0.84331447
TMEM59L,0.8401652
TOX3,0.8375594
CAMK2G,0.8375008
CRIP1,0.83749646
ITPR1,0.8364545
RGS7,0.83628255
GLS,0.83566767
GRIA3,0.8353925
RAB26,0.83335924
MUC13,0.83291376
FBXL16,0.8320946
