,factor_0
PCSK1N,1.3883034
PTPRN,1.309254
GNAS,1.2866374
CHGA,1.2699083
PPP1R1A,1.2657034
ABCC8,1.2570373
SYT7,1.248031
VGF,1.2477627
SLC22A17,1.223427
SCGN,1.2119901
CPE,1.2093815
CNIH2,1.1879121
MAFB,1.184407
PEMT,1.1835423
SLC30A8,1.1831895
CFC1,1.182761
GAD2,1.1777048
STX1A,1.1774184
NEUROD1,1.1765081
BEX1,1.1662363
SCG5,1.1659665
PTPRN2,1.1622404
SCG3,1.1597834
CHGB,1.1586822
SLC7A8,1.1545173
PAX6,1.1448243
KCNK16,1.140402
DPP6,1.1367408
NPDC1,1.134253
SLC29A4,1.122736
PAM,1.1224567
CRYBA2,1.1218646
SSR4,1.1207664
VAMP2,1.1206074
SCG2,1.1189399
G6PC2,1.1168736
APLP1,1.1146083
PCSK2,1.1140672
WNT4,1.108818
CAMK2B,1.1082864
DPM3,1.1075927
RAP1GAP2,1.1060925
KCNH2,1.0924364
INSM1,1.0920758
TSPAN7,1.0901161
SEZ6L2,1.0880487
CPLX2,1.0866352
TTR,1.0855311
COX17,1.0844935
KIAA1324,1.0810177
ATP2A3,1.0730797
GNAO1,1.0713735
SCGB2A1,1.0676398
PARVB,1.0667531
BEX2,1.0645181
CACNA2D2,1.0609945
MLXIPL,1.0600007
UCHL1,1.0593393
KIF1A,1.0585166
PLCXD3,1.0564457
FBXL16,1.0560049
RGS9,1.0535071
RAB3B,1.0529643
FKBP2,1.0529636
SEZ6L,1.0513855
EMC10,1.0459875
PHPT1,1.0436476
DUSP26,1.0436342
RTN1,1.0421474
C4orf48,1.0408199
MZT2B,1.0402135
RPL3,1.0385323
INA,1.0382926
P4HTM,1.0378462
GPX3,1.0362263
HSD17B14,1.0352252
CELF3,1.0340968
STMN2,1.0338403
NENF,1.0322847
ENPP2,1.0318092
HOPX,1.0300179
PCP4,1.0295513
LDLRAP1,1.0289024
PARM1,1.0281484
TCEAL2,1.0271889
PAK3,1.0270486
QPCT,1.0221673
GNG4,1.0205986
EEF1A2,1.0189505
INS,1.0116634
RASD1,1.0111728
NDUFA13,1.0107578
CNTN1,1.007352
STXBP1,1.0071616
ISL1,1.0070716
KIF5C,1.0052722
TMOD1,1.0035199
WFS1,1.0023793
SNAP25,0.999164
TOMM7,0.9989865
