,factor_4
HSP90AB1,1.7269812
ATP6V1G1,1.7230766
GABARAP,1.6829418
SRP14,1.6386001
COX7A2,1.6370509
CALM1,1.6286316
SKP1,1.6278561
MORF4L1,1.6248952
NDUFS5,1.6095738
YWHAE,1.602808
COX6C,1.593972
UBB,1.5926023
SNRPD2,1.5907876
RPL3,1.5848241
YWHAQ,1.5766631
NDUFB8,1.5638179
COX4I1,1.5629647
OAZ1,1.5563289
PARK7,1.5558822
PEBP1,1.5529028
RPL6,1.5518671
COX6A1,1.5484898
TMEM59,1.5435523
HINT1,1.541584
SERF2,1.5396351
TUBA1B,1.5386868
PFDN5,1.5384903
ARF1,1.5376729
EID1,1.5374702
TMA7,1.5361712
RPL15,1.5328906
HNRNPC,1.530707
TRMT112,1.5305414
SOD1,1.5187446
UBL5,1.5179313
GAPDH,1.5174085
PRKAR1A,1.5137308
RPL23A,1.5121812
TMBIM6,1.5111527
NDUFA1,1.5104787
PSMB1,1.5093801
NDUFB2,1.5092502
RPL31,1.5073119
CALM2,1.505026
PSMB5,1.5012923
MYL6,1.4982898
COX7C,1.4970418
NDUFC2,1.4966894
RPS25,1.4935849
DBI,1.493425
DSTN,1.4931494
UQCRB,1.4922767
UQCRQ,1.4902362
RPL19,1.4897084
NDUFB4,1.4896717
TOMM7,1.4869968
DYNLL1,1.4843062
SAP18,1.4784143
TMED10,1.4774427
CUTA,1.4750366
TMEM258,1.4710033
PDIA3,1.4704286
NDUFB9,1.4674666
RPL24,1.4644879
RPL36AL,1.464424
HSPE1,1.4642844
RPS3,1.4637837
PSAP,1.4632193
COX7A2L,1.4627434
LAPTM4A,1.4621898
DAD1,1.4620286
COX17,1.4597435
RTN4,1.4595497
SUB1,1.4587955
SEC62,1.4563136
ATP6V0B,1.4544622
EIF4A2,1.4542575
CD63,1.4517552
COX5B,1.4515114
RPL34,1.4505779
EIF1,1.4495394
RPS27A,1.4489487
GABARAPL2,1.4481313
SLIRP,1.4473677
SERINC1,1.4444494
RPS14,1.4440589
ATP6V1E1,1.4426637
DDX5,1.4425632
RPS11,1.4414706
RAB2A,1.4385487
HSBP1,1.4341187
RAB7A,1.4335084
POMP,1.4320724
H2AFZ,1.4304526
PRDX3,1.4300722
ATP6V0E1,1.4299722
TPI1,1.4297609
SRP9,1.4295521
UQCR11,1.4290341
ATP6AP2,1.4289961
