,factor_2
SPARC,1.881651
PXDN,1.8652277
COL4A1,1.8567572
COL6A2,1.8454871
IGFBP4,1.8215858
BGN,1.8190222
PDGFRB,1.7841166
LGALS1,1.7727634
SERPINE1,1.7634486
COL1A2,1.7400336
MMP2,1.7361045
COL15A1,1.7328466
COL3A1,1.731687
ENG,1.7281874
TIMP3,1.720936
COL5A1,1.710701
C11orf96,1.7004845
SERPINH1,1.6995262
EMP1,1.6991526
COL1A1,1.6928366
AEBP1,1.6897895
CYGB,1.6879846
COL18A1,1.6875334
NID1,1.6854645
MMP14,1.6733748
COL5A2,1.6641034
COL6A1,1.66372
LAMA4,1.6616893
MFGE8,1.654033
LOXL2,1.6510326
CRISPLD2,1.6494365
ITGA1,1.6429434
COL6A3,1.640161
ITGA5,1.6398524
SFRP2,1.6366367
FSTL1,1.6356347
CTHRC1,1.635184
CRLF1,1.6334957
THBS2,1.6313863
TBX3,1.6286001
PRRX1,1.6251904
NOTCH3,1.6246755
COL5A3,1.6204731
TPM2,1.6093278
FMOD,1.60735
HTRA3,1.600337
VCAN,1.5946991
FN1,1.5909042
FBN1,1.5897526
WNT5A,1.5871407
RAB34,1.5841668
PLAT,1.5829071
THY1,1.5784366
CALD1,1.5769905
SPHK1,1.5709399
TGFBI,1.570083
TGFB1I1,1.5689093
CDH11,1.5673289
SNAI1,1.5634161
DCN,1.5592039
LUM,1.5584068
LAMC3,1.5583234
BASP1,1.5567229
FKBP10,1.5528309
UNC5B,1.5390211
ADAMTS4,1.5373107
EDNRA,1.5324494
MXRA8,1.5275075
IFITM1,1.5259097
RUNX1,1.5210485
SNAI2,1.520264
CD248,1.5079261
RBMS1,1.5042412
PMP22,1.503651
CYBRD1,1.5004345
F2R,1.4977176
PLEKHO1,1.4963324
SPON2,1.4939965
HTRA1,1.491721
LTBP1,1.4901537
ITPRIP,1.476777
ZEB2,1.4702488
THBS1,1.4678959
FLNA,1.4652002
LRP1,1.464459
HEYL,1.4619362
CLIC4,1.4592973
PPP1R18,1.4582711
RAB31,1.4513721
CAV1,1.4460688
KLF9,1.4460171
EVA1B,1.4410045
GFPT2,1.4400331
PTPRE,1.4393901
PHLDB1,1.4339877
MYL9,1.4334236
MICAL2,1.4268486
IFI16,1.4265671
EHD2,1.4265022
SLC1A5,1.4211926
