,factor_5
KRT19,1.8057216
CFTR,1.7135084
MMP7,1.7120721
SLC4A4,1.7004164
SERPINA5,1.6939317
KRT7,1.6787418
CLDN1,1.6608821
TACSTD2,1.6469991
ANXA4,1.6398865
TSPAN8,1.607763
CTSH,1.6057111
DEFB1,1.6043574
TINAGL1,1.6009668
LAD1,1.5962489
CLDN10,1.5935448
S100A14,1.5921855
LGALS4,1.5904728
KRT8,1.5754263
ANXA3,1.5740631
ONECUT2,1.5498387
SERINC2,1.5423945
AQP1,1.5359999
S100A10,1.5296834
KRT18,1.5245337
PROM1,1.5204021
TRPV6,1.5050805
SPP1,1.4990928
LAMC2,1.4963623
MUC20,1.4941282
SERPING1,1.4935157
GPRC5B,1.483679
DCDC2,1.4798679
AGRN,1.4790268
ALDH1A3,1.4759117
ATP1A1,1.4730262
TGFA,1.4691374
HSPB8,1.45929
KRT23,1.4585025
SPINT1,1.445499
CD74,1.4407853
SDC1,1.4405788
TSPAN15,1.4389629
RHPN2,1.4372467
ABCC3,1.4355654
LCN2,1.4355092
KRT80,1.4354129
HKDC1,1.4316695
MALL,1.4303628
FLRT2,1.4243413
ANXA2,1.417598
EDN1,1.4149743
CAV2,1.4123771
MYRF,1.4096322
SLPI,1.4091296
JUP,1.4069002
CCL2,1.4020977
ST14,1.396879
TFPI2,1.3961214
CX3CL1,1.3958819
TNFAIP2,1.3954059
LAMB3,1.3943446
PRSS8,1.3903822
LIPH,1.3889391
CFB,1.3870174
KIAA1522,1.3834618
SOX9,1.378187
SEL1L3,1.374543
NCEH1,1.3708014
CDC42EP1,1.3670746
CXADR,1.3662902
CITED4,1.3634219
SPNS2,1.3609256
PMEPA1,1.3574929
HSD17B2,1.3561722
PDLIM3,1.3545498
ELF3,1.3531095
ACTN4,1.35233
CMTM7,1.35069
PDZK1IP1,1.3500469
TPM1,1.346201
TM4SF1,1.3454305
CLDN4,1.3447052
CXCL6,1.3404908
S100A6,1.3372285
ITGB4,1.3364908
TNFSF10,1.3341147
PIK3AP1,1.3315051
AKAP7,1.331125
DAB2IP,1.3298614
LGALS9,1.3272645
FILIP1L,1.3257413
AMBP,1.3234488
CD44,1.3231403
FNDC4,1.321385
CREB5,1.3180618
ALDH3A2,1.3175385
SDC4,1.3168087
WFDC2,1.3138452
CLMN,1.3136317
B4GALT5,1.3093383
