,factor_1
GCG,1.5792669
TM4SF4,1.5651829
TMEM176B,1.559299
TTR,1.5562408
PCSK2,1.5536025
TMEM176A,1.540158
CLU,1.5375137
GC,1.532322
GPX3,1.5293621
RGS4,1.5000981
GLS,1.4976169
SLC38A4,1.4797901
F10,1.471761
IRX2,1.4533385
LOXL4,1.4440464
QDPR,1.4418778
CRYBA2,1.4409815
ARX,1.4391298
CHGB,1.4323325
ALDH1A1,1.428779
KCTD12,1.4226373
MUC13,1.4114543
MPC2,1.3852879
SMOC1,1.3817116
FXYD6,1.3732698
FEV,1.3685085
SPTSSB,1.3558233
SLC7A2,1.354732
PLCE1,1.3441422
PDK4,1.3416543
NAA20,1.3380051
TUSC3,1.3301584
DPP4,1.3273361
PALLD,1.3243413
NPNT,1.3213363
SSX2IP,1.3198713
ELL2,1.3198303
PAPPA2,1.3156674
SCG2,1.3114046
VGF,1.3107132
USH1C,1.3065528
LRPAP1,1.3061587
SLC22A17,1.2964491
PPP2R2B,1.2942386
CYSTM1,1.2941971
CAMK2G,1.293862
FXYD3,1.2889515
MOB1B,1.2840437
HIGD1A,1.2768271
HMGB3,1.2752562
FSTL5,1.2716461
SPINT2,1.2651787
CNTN1,1.2580287
GRIA3,1.257257
GCH1,1.2554315
CD99L2,1.2524383
PDE3B,1.2512592
FXYD5,1.2502292
CD164,1.2482946
RFX6,1.2460412
ARRDC4,1.2441307
SMARCA1,1.2417258
COX8A,1.241242
FABP5,1.2361991
ATP6AP2,1.2340535
FAM84A,1.2316993
NUCB1,1.2301435
COTL1,1.225062
SCG5,1.2240864
PTPRT,1.2239248
NPTN,1.2213074
TUBA1B,1.2198615
EMC10,1.218953
MYH10,1.2166915
KCNJ3,1.216078
ITM2B,1.2123375
STMN1,1.2120123
SERPINE2,1.2116891
CRH,1.208584
GNAI1,1.207371
PLK2,1.2044511
PTPRN2,1.2042383
PCDH17,1.2023255
A1CF,1.2010162
CFC1,1.1989774
PIGT,1.1984155
C12orf75,1.1963937
ARHGAP1,1.195293
PDK3,1.191677
APOH,1.1892644
POPDC3,1.1849378
PEMT,1.1835294
KCNJ6,1.180612
MALAT1,1.1794631
ABHD15,1.1760817
KIAA1324,1.1759944
GLB1,1.1734035
FAP,1.1714745
PLIN3,1.1713861
SLC7A14,1.1709964
