,score
chr7_151795151_151798057,7.271496242869034
chr5_142223267_142224324,6.8813695891840325
chr17_2069996_2071174,6.751264437345526
chr16_78778040_78778962,6.733063164985651
chr6_11785323_11786669,6.572738728376862
chr18_13374902_13378835,6.381962237617699
chr6_16472408_16475604,6.328559769171989
chr3_32302948_32303963,6.18578485065882
chr7_158655906_158656710,6.121295447323064
chr4_86544219_86545035,6.008608557513071
chr1_169584509_169587330,5.951064087264967
chr1_24487988_24488715,5.937562816638092
chr5_80139447_80141596,5.9330580825517245
chr8_125647936_125649761,5.928305707708205
chr2_96524068_96524947,5.914805730244552
chr8_8868437_8872996,5.895438024657778
chr1_154418085_154420668,5.8749200503843895
chr10_62185800_62188683,5.872843876830302
chr18_13435535_13439121,5.814002363869804
chr13_48892154_48892916,5.7999579646893835
chr20_32231650_32232921,5.798631825804478
chr6_16657472_16660508,5.756572985148523
chr17_80791134_80792388,5.750654177078104
chr6_118899717_118901373,5.736405458108493
chr6_151690160_151691845,5.732802058788366
chr2_203578940_203579762,5.729827783376095
chr3_171165515_171166551,5.707311871923594
chr11_47376500_47379053,5.670728930934274
chr2_222423442_222426619,5.639583741296519
chr6_16419919_16421934,5.618106239911867
chr3_71460817_71461828,5.612885739981721
chr6_16412914_16414781,5.578639544935868
chr10_62062054_62064656,5.55380111233535
chr1_160574761_160581099,5.538023227854865
chr16_84602742_84603742,5.532849928382348
chr6_397598_400518,5.526510195682931
chr7_77830869_77832185,5.487186395243043
chr12_19431570_19432576,5.484962154499954
chr21_36909719_36910393,5.47258593587685
chr6_148835724_148836617,5.453624930123624
chr3_187922844_187923808,5.448665002582857
chr2_190718418_190719514,5.446174370215886
chr3_119627329_119629622,5.4376705288632365
chr3_32992299_32993702,5.382115913524103
chr3_195608924_195609979,5.38162580466269
chr16_78961453_78963094,5.369260254636174
chr2_64202251_64205561,5.365298325812546
chr8_125605879_125608764,5.3635066481674585
chr9_5509589_5511113,5.357482447294387
chr16_78894738_78896714,5.338533726591777
chr8_125636880_125638125,5.318779688492214
