,score
chr2_86785303_86792021,7.493140049797603
chr3_45950358_45951665,7.127349714034665
chr2_239297416_239299133,6.912218140246537
chr5_142223267_142224324,6.443288479558703
chr2_86824996_86827527,6.385604991170283
chr12_10369656_10370504,6.181935257178253
chr12_6773761_6775871,5.82495157297997
chr22_23242562_23243806,5.733318615511251
chr11_118338135_118345816,5.709868489795497
chr9_135978811_135979590,5.652643832996233
chr5_80139447_80141596,5.631257927622187
chr18_13435535_13439121,5.630678332897787
chr12_1488761_1489567,5.56319049250223
chr7_151768704_151769997,5.516182747800428
chr2_86807054_86810106,5.508920195646681
chr7_138752131_138754028,5.3869116405624595
chr7_36637381_36640635,5.383330102315654
chr10_24881884_24883846,5.329532482074725
chr12_68673430_68676698,5.304161569232747
chr17_59327553_59328454,5.274012824546105
chr22_40323531_40325795,5.25574759440849
chr8_19496217_19498006,5.243785646277161
chr6_12138312_12138934,5.226100290144728
chr12_111991534_111995296,5.207500921811075
chr3_46064943_46066305,5.159368114194422
chr14_61320827_61339256,5.139915648854867
chr11_104916257_104919233,5.139708490185811
chr1_53412874_53414150,5.121281785301846
chr7_151755799_151756678,5.07521092309139
chr12_50058762_50060408,5.070366826589009
chr8_52764205_52764811,5.062378373759131
chr10_6542696_6544185,5.056682706091578
chr9_127719211_127720938,5.048035365970335
chr9_133683014_133684636,5.042134390796718
chr5_81006135_81009204,5.040908767767462
chr3_111541512_111549501,5.035775823704455
chr3_71488410_71494709,5.008647982221589
chr11_118222873_118225604,5.008466439141841
chr1_100924167_100929050,4.9960344685163705
chr18_23828262_23829130,4.983973223566082
chr22_40334138_40335734,4.979503578726252
chr16_87895280_87898241,4.972449618462008
chr4_48127446_48135050,4.972274292611019
chr3_18438145_18448087,4.944014501012191
chr5_35878745_35885282,4.9397615020594685
chr1_89605699_89612464,4.924700058151075
chr2_39215492_39217737,4.900386963368135
chr8_28489881_28491029,4.876832768005045
chr10_46090839_46096247,4.859791775430551
chr12_111056419_111057702,4.846432608756231
chr4_99507304_99508602,4.829507239666043
chr6_79671284_79673056,4.795706239315734
chr21_43921388_43922687,4.777960610511343
chr4_42626878_42628974,4.76979573122378
chr19_47427186_47428711,4.7568575973739655
chr1_24483220_24484500,4.740510951008616
