# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology	 Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
GO Biological Process	regulation of immune system process	2	5.897897e-25	3.88052133115e-21	2.071205	213	0.2350993	7	0.0006532027967571429	1.585069	117	1423	0.1201232	
GO Biological Process	immune response	3	7.524158e-25	3.3003465040666663e-21	2.168481	194	0.214128	51	0.023564275414509804	1.424181	110	1489	0.1129363	
GO Biological Process	hemopoiesis	6	1.96157e-19	4.302049938333333e-16	2.474522	120	0.1324503	33	0.010351878256666667	1.848598	49	511	0.05030801	
GO Biological Process	regulation of immune response	7	3.088072e-18	5.8051342068571424e-15	2.22297	137	0.1512141	36	0.011243777000277778	1.603004	76	914	0.07802875	
GO Biological Process	positive regulation of immune system process	8	7.269537e-18	1.1957479672875e-14	2.138414	145	0.1600442	20	0.0059137085519	1.654876	77	897	0.07905544	
GO Biological Process	immune system development	9	7.688597e-18	1.1241583102555556e-14	2.276443	128	0.1412804	28	0.007327015793571429	1.809391	55	586	0.05646817	
GO Biological Process	hematopoietic or lymphoid organ development	11	1.392567e-17	1.665889923e-14	2.296882	124	0.1368653	29	0.007622055806896551	1.827811	53	559	0.05441478	
GO Biological Process	regulation of defense response	14	5.627989e-17	5.289907660785714e-14	2.334869	116	0.1280353	93	0.04487193530967742	1.578027	60	733	0.06160164	
GO Biological Process	T-helper 17 cell lineage commitment	52	1.362637e-11	3.448257746730769e-9	25.90401	10	0.01103753	54	0.024181170911296297	12.85216	4	6	0.004106776	
GO Biological Process	response to insulin	61	4.211639e-11	9.085402885409835e-9	2.969213	49	0.05408389	75	0.03658845913733333	2.224412	24	208	0.02464066	
GO Biological Process	regulation of hemopoiesis	78	3.731274e-10	6.294850585384614e-8	2.135449	80	0.08830022	78	0.037944128334615385	1.792307	41	441	0.04209446	
GO Biological Process	regulation of sequence-specific DNA binding transcription factor activity	88	1.37171e-9	2.051174078409091e-7	2.10978	77	0.08498896	32	0.0097750109990625	2.002933	40	385	0.04106776	
GO Biological Process	positive regulation of interleukin-2 production	92	1.964033e-9	2.809207635543478e-7	4.949203	22	0.02428256	58	0.024330196922413793	5.140862	8	30	0.008213552	
GO Biological Process	histone modification	93	2.089689e-9	2.9567975861290323e-7	2.244911	66	0.07284768	103	0.048186712136893205	1.862102	34	352	0.0349076	
GO Biological Process	negative regulation of immune system process	101	4.923921e-9	6.415235290990099e-7	2.108743	72	0.0794702	84	0.04041915306904762	1.826865	38	401	0.03901437	
GO Biological Process	cellular response to starvation	103	5.887672e-9	7.521929693980582e-7	3.092359	36	0.0397351	76	0.03720587780131579	2.570431	18	135	0.01848049	
GO Biological Process	regulation of leukocyte differentiation	111	1.265748e-8	0.0000015005385524324323	2.27635	58	0.06401766	85	0.04007239056588235	2.082049	27	250	0.02772074	
GO Biological Process	cellular response to external stimulus	114	1.600854e-8	0.0000018478629636842105	2.300373	56	0.06181015	69	0.02831151221594203	2.058174	30	281	0.03080082	
GO Biological Process	positive regulation of NF-kappaB transcription factor activity	125	4.451076e-8	0.0000046857367267199995	2.956564	34	0.03752759	97	0.045982768902061856	2.47863	18	140	0.01848049	
GO Biological Process	cellular response to peptide	180	7.704641e-7	0.00005632520606611111	2.036252	56	0.06181015	48	0.020878423048125	2.077116	32	297	0.03285421	
