,factor_9
FSCN1,3.563044
ITM2C,3.2476838
LAMP3,2.516434
GPR157,2.3732746
SLC27A2,2.2138977
CD80,2.0814562
TBC1D13,1.8960222
LAD1,1.8939952
TFPI,1.8633636
CRLF2,1.8559434
CALCRL,1.8280549
LINC00158,1.7346995
ALDH2,1.7201799
MVD,1.5826066
CRIP1,1.521327
FADS1,1.4775916
SLC9A9,1.4749593
TNFRSF9,1.4104228
ZBTB32,1.3842069
CXCL11,1.3839602
DST,1.3396707
CD70,1.3303163
MAOA,1.3271893
IL1R1,1.3083375
SOX4,1.2849876
PALLD,1.282263
SOCS2,1.2708209
LY75,1.2391797
NME3,1.2307456
RAB9A,1.1992525
TMEM120B,1.1979823
ARMC9,1.1772641
AAMDC,1.1597476
FLT3,1.1360347
HOMER2,1.1216426
HACD1,1.1019813
FOXP3,1.1003722
MAP1A,1.0804989
CKB,1.078803
GUCY1A1,1.0689979
FADS2,1.0679517
DAAM1,1.0581193
ATP1B1,1.0352694
ASPSCR1,1.034336
NR4A3,1.0328412
LINC00467,1.0300397
CCDC28B,1.0256592
FAS,1.0218344
AC007952.4,1.0197413
CENPJ,1.011509
GDF11,0.994247
PDGFA,0.9866433
CDCA7,0.97160107
NUSAP1,0.9449198
GADD45A,0.93948567
HAPLN3,0.934045
ZC2HC1A,0.92040557
ITGB8,0.8909863
SLC37A1,0.88551354
NFIL3,0.8840526
ECE1,0.8740041
LMBR1L,0.87339807
NCOA7,0.8648585
H2AFX,0.8605444
TIFA,0.86035734
ENDOG,0.85747224
HELLS,0.8435605
REPIN1,0.84268725
N4BP2L1,0.8294183
FLOT2,0.8219354
IGFLR1,0.8208649
ERCC6,0.81021655
RGS1,0.8092252
MGST2,0.80073315
IGSF10,0.7983945
TESC,0.7972258
SAP30BP,0.78843635
ZDHHC24,0.7865206
TBC1D10A,0.78190815
MGME1,0.7800302
SPATS2,0.77784115
BCL2L11,0.772772
GATA2,0.77184415
YPEL5,0.7676962
SPECC1,0.7649279
HIC2,0.7632041
NDE1,0.7497141
GTPBP1,0.7436147
TUBA1A,0.738207
UGCG,0.7362114
EIF4EBP1,0.7349106
STAM,0.7342551
PRSS57,0.7340322
C17orf80,0.7293985
SEPT11,0.7227855
IL15,0.7061285
WDR44,0.7037725
RBMXL1,0.70024073
CCL17,0.69987833
MIR3142HG,0.6914861
