,factor_10
GZMK,1.5545868
MIAT,1.4797692
CXCR6,1.4766988
TRGC2,1.4173388
IL7R,1.4008653
LINC01871,1.3909221
JAKMIP1,1.3893572
CADM1,1.3869485
TIGIT,1.3832891
F2R,1.3778812
ATP2B4,1.3691611
TPRG1,1.3646266
KLRG1,1.3366892
ERN1,1.3194655
PTGER2,1.3082709
SYNE1,1.2453305
PRF1,1.2416828
GNLY,1.2416811
KLRD1,1.2416773
CCL5,1.2416708
CTSW,1.2416607
GZMA,1.2416604
CST7,1.2416446
HOPX,1.241628
NKG7,1.2416205
KLRF1,1.2415949
KLRB1,1.2415785
PYHIN1,1.2415624
AOAH,1.2415458
MYBL1,1.2415327
GZMB,1.2415154
CCL4,1.2414956
CLIC3,1.241474
XCL2,1.2414695
IGFBP7,1.2414573
TRDC,1.241442
AKR1C3,1.241392
FEZ1,1.2413902
HAVCR2,1.241337
C1orf21,1.2413352
CEBPD,1.2413211
KLRC1,1.241306
PTGDR,1.2412875
GZMH,1.2412785
DTHD1,1.2412566
CD300A,1.2412133
SAMD3,1.24119
IL18RAP,1.2409337
TGFBR3,1.2409202
TRGC1,1.2409196
FCGR3A,1.2405887
CX3CR1,1.24058
MCTP2,1.2404517
S1PR5,1.2402681
NCAM1,1.2400475
FASLG,1.239855
PRR5L,1.2397212
UTRN,1.2391024
EOMES,1.2386357
SH2D1B,1.2384554
GNG2,1.2365348
XCL1,1.2341073
AUTS2,1.2339263
NCR1,1.2334831
ADRB2,1.2332377
OASL,1.2314132
MXRA7,1.2312917
GAB3,1.2300779
CHST12,1.227028
PARP8,1.2267791
FGFBP2,1.2235214
SYTL2,1.2215314
PTPN4,1.2176163
USP28,1.2167354
GNPTAB,1.2159736
PTPN22,1.2141739
IL18R1,1.2069418
STOM,1.2034531
CD244,1.2027308
AKAP5,1.1994507
RAMP1,1.1978616
ALOX5AP,1.1927882
KLRC2,1.1896179
MYO6,1.1882988
BIN2,1.1847767
PLCB1,1.1813037
ADGRG1,1.1798085
TOX,1.1779828
IKZF2,1.1727363
TRG-AS1,1.1648364
SYNM,1.1480649
RIN3,1.1429847
LAG3,1.1377795
C12orf75,1.1369417
GK5,1.1334563
PIK3R1,1.1274686
CLEC2B,1.127047
APMAP,1.1251326
NCR3,1.1247673
ITGA1,1.1245466
