,factor_11
CD68,5.327176
CYP1B1,5.3271403
C15orf48,5.3271036
C5AR1,5.3270993
LYZ,5.3270917
ANPEP,5.3270793
ITGAX,5.3270326
PLA2G7,5.3270154
FCGR2A,5.3270044
CCR1,5.3269887
S100A8,5.3269873
SLC7A11,5.3269873
SDC2,5.326977
CLEC5A,5.326975
IL3RA,5.3269644
EMP1,5.3269644
MAFB,5.3269463
S100A9,5.326942
PTAFR,5.326941
NCF2,5.3269343
CXCL16,5.3269277
DAB2,5.32691
S100A12,5.3268986
SLAMF8,5.326885
SMIM25,5.326883
MMP9,5.326881
CXCL8,5.3268776
SERPINA1,5.326864
DUSP6,5.326861
SIRPA,5.3268485
DOCK4,5.326838
LILRB2,5.3268356
RBM47,5.326828
CLEC7A,5.3268213
PLAUR,5.326814
NRP1,5.326785
IGSF6,5.32678
CSF1R,5.326752
LILRB3,5.3267493
CST3,5.326737
CD14,5.326719
HNMT,5.3267145
TIMP1,5.326708
CXCL3,5.3266997
GSN,5.326674
FBP1,5.326674
PILRA,5.3266473
PTPN12,5.3266473
IL1B,5.3266125
ARHGAP18,5.32661
TLR2,5.326606
FPR3,5.3265986
CLEC4A,5.326585
IRAK3,5.3265767
EREG,5.326554
MITF,5.326541
SPI1,5.3265204
DMXL2,5.3265047
KCTD12,5.3264956
HCK,5.3264856
CXCL5,5.3264756
SERPINB2,5.3264756
GK,5.3264647
LHFPL2,5.326464
ADGRE2,5.326453
SLC11A1,5.326446
MXD1,5.3264337
MCEMP1,5.326383
HBEGF,5.3263483
TGFBI,5.3263392
PLXDC2,5.326334
ABCA1,5.326326
RAB31,5.326312
TNFAIP2,5.326309
MGST1,5.3263073
FAM129B,5.326286
NECTIN2,5.32628
ENG,5.3262577
TNS3,5.3262477
CD300E,5.3262463
MS4A7,5.326241
MRC1,5.3262224
CXCL1,5.326205
NPC2,5.326204
CSF2RA,5.326198
SEMA6B,5.326194
CSF2RB,5.326141
CLEC4E,5.326134
EPB41L3,5.32605
AC245128.3,5.32605
HIP1,5.3259864
C3AR1,5.3259754
MMP19,5.325929
CAPG,5.325888
P2RX7,5.3258586
FCN1,5.3258533
OLR1,5.32584
FGR,5.325808
TIMP2,5.3257823
ABCC3,5.3257656
