,factor_6
RPS12,9.308881
RPL23,9.30787
RPL32,9.305365
RPL9,9.300371
RPL30,9.298956
RPS3A,9.298743
RPS15A,9.298371
RPS8,9.295016
RPL13,9.291524
RPL13A,9.289529
RPS18,9.269259
RPS11,9.257381
HSPD1,9.239051
RPS4X,9.218089
PTMA,9.17598
HSP90AB1,9.166661
HSP90AA1,9.144091
HSPA8,9.138526
HSPE1,9.093639
DDX21,8.946057
NME1,8.892653
SRSF7,8.883871
GAPDH,8.86592
PPP1R14B,8.819389
TUBA1B,8.805782
MT-ND4,8.788479
HSPH1,8.76733
GPATCH4,8.766869
HSP90B1,8.741715
NOP56,8.653935
TUBB,8.636741
H3F3B,8.635979
CALR,8.591777
MT-ATP6,8.5597725
GSTP1,8.419022
H2AFZ,8.406921
PABPC1,8.372858
MT-ND3,8.349475
ANP32E,8.345345
RPL22L1,8.332392
HNRNPH1,8.320693
ACTB,8.2546215
TAF1D,8.238941
CCND2,8.235874
PPIG,8.176312
TRA2B,8.175216
PUM3,8.169398
PRDX1,8.144209
PKM,8.142029
FABP5,8.135611
MT-CO3,8.130988
NOP58,8.124904
DYNLL1,8.108088
TPR,8.094445
USP16,8.090915
DNAJC2,8.087873
ANKRD11,8.082684
CHD4,8.073416
CLEC2D,8.043332
PDIA6,8.040023
SEC61B,8.011904
TMSB4X,8.010716
CD3D,7.987586
NFKB1,7.9751987
PSME2,7.970155
RGS10,7.96166
PRPF38B,7.9596024
PRPF4B,7.953048
SEC11C,7.941
GOLGA4,7.9340177
BDP1,7.925686
CD47,7.9089046
B2M,7.9075527
CHD1,7.8886895
DBI,7.882305
MIR155HG,7.871865
STAT3,7.8712306
LYAR,7.870852
CD81,7.8705974
MSN,7.8608775
RIF1,7.8596387
BAZ1A,7.8511014
MALAT1,7.848357
JUND,7.847026
RAP1B,7.845398
UBC,7.8432493
HLA-B,7.8393
FKBP2,7.8352656
EZR,7.8322873
PSMB9,7.827561
MT-CO1,7.826217
TAGLN2,7.824673
CFLAR,7.8195214
CLIC1,7.8183684
BPTF,7.818354
BOD1L1,7.816849
IFI16,7.814274
SP100,7.8134274
CAST,7.803974
FAM107B,7.802266
