,factor_12
RPL23,3.4405382
RPS12,3.4398885
RPL32,3.4370449
RPS3A,3.4327033
RPL9,3.431372
RPS8,3.430881
RPS15A,3.4300146
RPL30,3.4255686
RPL13A,3.4196122
RPL13,3.4179726
HSPD1,3.4003608
RPS18,3.398972
RPS11,3.3544192
RPS4X,3.3139582
HSPE1,3.2751024
HSP90AB1,3.2038789
HSP90AA1,3.2021863
HSPA8,3.1792018
PTMA,3.1723428
NME1,3.1708689
DDX21,3.150165
GPATCH4,3.115018
GAPDH,3.0663466
RGS10,2.9724302
CD3D,2.9631565
PUM3,2.92366
NOP56,2.89255
CLEC2D,2.8917
PABPC1,2.8837953
HSP90B1,2.8511143
PPP1R14B,2.8321443
SNHG8,2.825084
HSPH1,2.8147256
CD2,2.7841399
TUBA1B,2.7579877
SRSF7,2.7148561
FABP5,2.6862063
DNAJC2,2.6468065
TRAC,2.6444461
LYAR,2.5643854
FOXP1,2.5447943
SFXN1,2.5225117
ETS1,2.5066419
NOP58,2.4993105
ESF1,2.4894447
CCND2,2.4521031
CD3E,2.4494243
TFRC,2.4450893
CALR,2.4380836
CDK6,2.362452
ODC1,2.354854
MT-ND4,2.3488984
CD3G,2.3411522
TAF1D,2.3368704
MYC,2.3235729
CD27,2.2478929
SNHG15,2.2431006
H3F3B,2.2361827
TRA2B,2.1927752
YBX3,2.1831715
C12orf57,2.1733973
HNRNPH1,2.1525857
TGFBR2,2.1406302
ANP32E,2.129365
SBDS,2.1153562
SMC2,2.0718307
TRBC2,2.0664387
TUBB,2.0494287
HSPA5,2.0265458
NDUFAF2,2.0240977
PCNA,2.0103803
SNHG7,2.0022154
SATB1,1.9984832
LAT,1.9928442
YEATS4,1.977283
TTF2,1.9638101
JAML,1.9599128
RPL22L1,1.9495376
IL2RA,1.9287523
FKBP11,1.9240185
LRRN3,1.909797
PKM,1.9033968
GSTP1,1.8994068
CD55,1.8924947
PHF6,1.8874751
HBS1L,1.8638179
CD8B,1.8584584
CD8A,1.858305
LINC02446,1.8578866
CD8B2,1.8566477
NELL2,1.8565565
THEMIS,1.8558257
AC022075.1,1.8551532
REG4,1.8545936
S100B,1.8542327
COL6A2,1.8514855
CRTAM,1.8505877
LAYN,1.8424516
SDF2L1,1.8423231
PECAM1,1.8374317
