,factor_5
CD8B,3.4719663
CD8A,3.4717264
LINC02446,3.4715695
CD8B2,3.4696116
REG4,3.4680123
AC022075.1,3.4674647
S100B,3.4670122
THEMIS,3.4654746
NELL2,3.4619858
COL6A2,3.4610448
LAYN,3.4571087
CRTAM,3.4552057
PECAM1,3.4373026
CPA5,3.434788
CLEC11A,3.393248
STN1,3.363179
PDE3B,3.3565786
ABCD2,3.3460362
PRKACB,3.293814
ZNF704,3.252377
ATM,3.2352357
OTUD7A,3.2283645
GIMAP2,3.1638663
MYB,3.1455748
GFI1,3.1389663
GPR18,3.1343844
SMYD3,3.1047273
SPRY1,3.0630233
SPINK2,3.0570457
NUCB2,3.054274
TMIGD2,3.0498765
LRRN3,3.0274227
PGGHG,3.0068767
UBE2C,2.977191
LINC02256,2.9587307
TIMD4,2.9470701
BEX3,2.9405477
PLAC8,2.9120524
ADGRL1,2.8833685
WWC2,2.882234
TCF7,2.8701181
LEF1,2.860795
HIST1H1D,2.849869
TRAV17,2.8299541
NOG,2.8156593
TMEM71,2.805085
AKAP7,2.8031685
OXNAD1,2.7909634
FLT1,2.7692294
IGF1R,2.7656415
AC136475.3,2.7638245
MPZL3,2.7556126
FAM27C,2.7508817
MLLT11,2.7497358
PDK1,2.7478628
NAA16,2.7424417
SLC9A3R2,2.7400377
LINC02482,2.7368004
RASGRF2,2.7248714
OTULINL,2.7199025
SPNS3,2.705435
MANEA-DT,2.6905448
RNF43,2.689242
FCGBP,2.6672983
BICDL1,2.6599824
BEX4,2.6529682
FHIT,2.6181774
FAM229B,2.6125538
MIR9-3HG,2.6008313
AC093673.1,2.5890613
GCNA,2.5703428
LINC00954,2.56746
STARD4-AS1,2.5561197
VNN2,2.5541854
AL163051.1,2.5446794
HES6,2.5402014
NUF2,2.5377753
SCGB3A1,2.5283823
AC007541.1,2.500168
PITPNC1,2.499954
GRAP2,2.49982
ZNF823,2.496584
ZNF69,2.4942768
NR3C2,2.4862328
CCDC171,2.482532
DHRS3,2.4809113
AL356599.1,2.474429
LRRCC1,2.4724593
SEC14L2,2.4713314
LIN9,2.470416
ZNF846,2.463274
ZNF550,2.4620547
ZNF540,2.457595
KIAA1958,2.4535975
AC022726.2,2.4515972
ZHX3,2.4514096
FGFBP3,2.4505966
CCDC152,2.4492908
HIST1H2AE,2.445931
GPR174,2.4445963
