,factor_7
MYB,2.5946827
TCF7,2.2364464
LEF1,2.2328148
FHIT,2.2203262
AC136475.3,1.9886309
PDK1,1.9533172
IGF1R,1.9512267
PLAC8,1.9469932
STMN1,1.9120456
CHI3L2,1.8997045
GATA2,1.7745538
CCNG2,1.7418195
OR4D9,1.7364389
SERAC1,1.7290606
PLCL1,1.7229415
LMO7,1.6966796
NOG,1.6846051
GNG8,1.6756896
CASC15,1.6748048
FBXL20,1.6644976
BICDL1,1.655501
TNFRSF10D,1.6195164
CD34,1.6023046
C6orf48,1.5784854
SELL,1.5764725
CAVIN2,1.5612539
PRSS57,1.5576866
AC023509.2,1.5327449
ABLIM1,1.519301
TPSAB1,1.5132381
TESPA1,1.505906
KLHL24,1.4992056
ADTRP,1.4876287
AC087190.1,1.4841168
PTBP2,1.4829061
NR4A2,1.4766645
MLLT3,1.4729984
TIMP3,1.4645326
CDKN1C,1.4593714
VAT1,1.4351474
AC087741.1,1.4339345
FAM184A,1.4242675
AC013394.1,1.4221456
AC003681.1,1.3877139
ZCCHC14,1.38308
AL645933.2,1.3709211
IRS2,1.3617766
KIAA1841,1.3593625
MAML3,1.3498247
HBP1,1.3490094
ZBTB18,1.3435581
CMBL,1.338068
ZNF418,1.3379667
AL391097.1,1.3374021
ZNF117,1.3318647
GPRASP1,1.3312696
IL18,1.3294258
GBP6,1.313676
ARMH1,1.3124422
CASP10,1.309499
RAB38,1.3039654
ZFYVE1,1.2911135
CLK1,1.2885017
SPTBN1,1.2700119
IGSF10,1.2663993
ZBTB8A,1.2603208
PTK2,1.2531915
CDK19,1.2521787
PROM1,1.2501241
LRG1,1.24284
ZHX2,1.2421169
KIT,1.2359852
CLIP2,1.2354721
NLRP7,1.231943
TSPYL2,1.229082
LINC00342,1.2264222
AC022182.2,1.2217197
CD109,1.2213604
AL160006.1,1.211607
BTD,1.2010411
GRIP1,1.1981928
MIR3142HG,1.1964407
GSTM4,1.1917083
KCNQ1OT1,1.1913327
MDK,1.1885238
IGF2BP3,1.1879299
TTC7B,1.1841868
AC022098.1,1.184015
AHDC1,1.1811608
TSC1,1.1785393
PELI2,1.1758051
SMPD3,1.1754055
TPM1,1.174778
SYTL4,1.173292
THAP9-AS1,1.1730634
ARHGAP12,1.1725627
HDAC5,1.1716949
IL6ST,1.170316
PIK3C3,1.1687508
LINC00672,1.1687247
