,factor_1
GZMK,0.8883924
IL7R,0.8437477
CXCR6,0.83710927
LINC01871,0.8267321
TPRG1,0.81459934
JAKMIP1,0.79107165
MIAT,0.7838014
TC2N,0.7724457
PBXIP1,0.76606554
KLF2,0.75565505
CDC14A,0.75564444
SYNM,0.733882
GIMAP4,0.73135924
CADM1,0.7293855
ST8SIA1,0.7243069
TSHZ2,0.72386336
PERP,0.70992947
LAG3,0.69392955
ATP2B4,0.6824357
EPHA4,0.6722679
MXI1,0.66073895
P2RY8,0.6588926
LINC00324,0.65765154
RCAN2,0.6539875
KLRG1,0.64762896
SESN3,0.6469804
AQP3,0.640404
LINC00944,0.632211
ITGA1,0.6313248
F2R,0.62897885
MYO6,0.6277609
CYSLTR1,0.62628394
CXCR4,0.62603515
HACD4,0.62262744
ZC3H12D,0.61663234
CCR2,0.6159284
CAMK2N1,0.6143213
ITM2A,0.6061757
LINC02273,0.6059953
KLF3,0.6051304
TRGC2,0.6027323
GIMAP1,0.5958232
ZFP36L2,0.5949008
CSGALNACT1,0.5936609
CYB561,0.590917
SLC2A4RG,0.5903385
CD4,0.58488256
AC133644.2,0.5836516
LPAR6,0.5832566
RGS2,0.5804495
SMAD3,0.57680464
SYNE2,0.5766077
LRIG1,0.57578915
GCSAM,0.57536066
TMEM63A,0.5727136
ADD3,0.5723544
PASK,0.57219756
RASA3,0.5709887
RGS1,0.57066286
DUSP16,0.56960624
ZFYVE28,0.5682244
GIMAP8,0.5679136
FXYD7,0.56715596
LINC00649,0.5652696
RASGRP1,0.5642309
TRGV2,0.56408346
PLEKHA5,0.561545
PATJ,0.5602576
GPR15,0.55866134
ODF2L,0.55816513
FBLN5,0.55781204
AL109741.1,0.55671346
PCED1B,0.5562439
KIAA0319L,0.55561066
A2M,0.55455613
GALT,0.5536375
ERN1,0.5527714
CMTM8,0.5512832
KIF5C,0.5488595
P2RY10,0.5475346
RASGEF1A,0.5472462
FAAH2,0.54683644
SENP7,0.54565144
C12orf76,0.5439162
SYT11,0.543722
A2M-AS1,0.54338604
CLIC5,0.5430047
FYCO1,0.54213977
NDRG1,0.5421184
RASGRP2,0.54198587
FAM13A,0.54166865
TSC22D3,0.54025316
AL365361.1,0.53912956
EIF4E3,0.53821826
EPHA1-AS1,0.5378456
RTKN2,0.5369346
IL4R,0.53678966
AP3M2,0.536248
NEO1,0.53620213
CRTAP,0.53600574
