,factor_0
GNLY,3.172311
PRF1,3.172289
CTSW,3.1722639
KLRD1,3.172258
GZMA,3.1722064
HOPX,3.1721275
NKG7,3.1720743
KLRF1,3.172065
CST7,3.1720185
GZMB,3.1718285
AOAH,3.171819
KLRB1,3.1717796
CCL4,3.1717513
IGFBP7,3.1717303
PYHIN1,3.1717117
XCL2,3.1717064
CLIC3,3.1716278
MYBL1,3.1715868
AKR1C3,3.1715264
HAVCR2,3.1714106
CCL5,3.1713917
FEZ1,3.171371
TRDC,3.1711884
PTGDR,3.1711776
CEBPD,3.1710563
KLRC1,3.1709504
CD300A,3.1708682
C1orf21,3.170823
DTHD1,3.1706717
GZMH,3.1705897
SAMD3,3.170218
IL18RAP,3.1698701
FCGR3A,3.1696572
TGFBR3,3.1693563
TRGC1,3.1692557
CX3CR1,3.1691782
MCTP2,3.1687284
S1PR5,3.16812
NCAM1,3.1678424
FASLG,3.1669252
SH2D1B,3.1639132
UTRN,3.1637104
PRR5L,3.163262
GNG2,3.156947
EOMES,3.1508846
NCR1,3.1498003
XCL1,3.1485548
ADRB2,3.1455948
AUTS2,3.1373456
FGFBP2,3.122124
CHST12,3.1217153
GAB3,3.108256
GNPTAB,3.1004825
USP28,3.0999494
PTPN4,3.0892088
CD244,3.0696266
AKAP5,3.057647
STOM,3.055379
RAMP1,3.0544999
ALOX5AP,3.0382514
KLRC2,3.0074291
PTPN22,2.996175
ADGRG1,2.9903316
SYTL2,2.9879386
OASL,2.9609413
IKZF2,2.9118164
RIN3,2.8692155
GK5,2.8381672
CLEC2B,2.830227
APMAP,2.828519
SLC15A4,2.797067
MYOM2,2.7655864
ZNF600,2.7469475
PLCB1,2.6944785
BIN2,2.6789541
APOBEC3G,2.6678991
C12orf75,2.6615016
ARHGAP9,2.6434045
CMC1,2.6406581
TXK,2.6346753
CD247,2.6149588
IL18R1,2.6138873
NCR3,2.564173
ELOVL6,2.5602844
KIR2DL4,2.5462766
ABI3,2.5310278
IVNS1ABP,2.5278268
LINC00996,2.5061662
KIR3DL1,2.5011609
FES,2.4855967
ADAM8,2.4751449
TNFSF10,2.4647572
YPEL1,2.450364
ARAP2,2.427427
ADGRG5,2.4273427
SYTL3,2.4034977
ZBTB16,2.4027953
AHI1,2.4021041
MMP25-AS1,2.3903854
SLFN13,2.3652594
