,factor_3
KLF2,1.8200765
TSHZ2,1.7776068
GIMAP4,1.6989647
CYSLTR1,1.5318944
MXI1,1.5293208
SESN3,1.4661062
ITM2A,1.4015815
ZC3H12D,1.3981482
CD4,1.3707025
AQP3,1.3670489
ADD3,1.248187
KLF3,1.245944
CSGALNACT1,1.2328523
CMTM8,1.2231661
IL4R,1.1839375
LINC02273,1.1835997
AC133644.2,1.1778578
AP3M2,1.1656233
MAL,1.1551038
P2RY8,1.1462636
RASGRP2,1.1290009
FAAH2,1.1262491
GCSAM,1.1167172
FBLN5,1.0979608
AL109741.1,1.0921068
BCL11B,1.0911623
RGS1,1.0417517
AC005842.1,1.0160985
GIMAP1,1.0140557
GALT,1.0042251
GPR155,0.99427575
ITGA6,0.9940425
FAM13A,0.9791481
C12orf76,0.9722948
AL365361.1,0.96856457
TC2N,0.9642113
TMEM63A,0.9567571
EPHB6,0.9566107
PASK,0.9511207
SH3YL1,0.93429273
TCP11L2,0.932886
LRIG1,0.92938584
MAP4K2,0.9281093
PATJ,0.9280664
TOB1,0.92798966
P2RY10,0.9191514
SLC8B1,0.9150712
STAT5B,0.9144095
CAMK2G,0.91139525
LPAR6,0.9113225
PIM2,0.9100105
ZC2HC1A,0.90685534
PCED1B,0.9048934
TRAT1,0.90030146
S1PR1,0.8968153
SLC37A3,0.8957334
RNF157,0.89189166
PBXIP1,0.8911947
FYB1,0.8905101
HELB,0.88283455
AL391097.1,0.8821108
TBC1D4,0.8801054
CEACAM1,0.87827057
MX2,0.8706198
CRIP1,0.8686482
GIMAP5,0.8685282
RTKN2,0.86614174
KIF5C,0.86424434
TP53TG1,0.8641143
PDCD4,0.86298335
SERINC5,0.8596957
CD200R1,0.85919
RASGRP1,0.85789114
AC106739.1,0.8547871
TBC1D15,0.85193646
CRIP2,0.8513226
PDIK1L,0.8504869
AFAP1,0.84311545
RETREG1,0.839884
CASP6,0.8388649
SLC2A4RG,0.83852255
ICOS,0.83848655
EPHA1-AS1,0.83234966
NMRK1,0.8314091
KRT1,0.83129984
TMEM173,0.8287988
DOCK9,0.82568043
TCEA3,0.8254219
NIPAL3,0.8219448
TSC22D3,0.8205482
CEACAM21,0.8168418
TAF4B,0.81632656
LDLRAP1,0.8151768
MAP3K1,0.81276083
EIF4E3,0.8086544
PLCL1,0.80534947
GPR183,0.8038061
CCR6,0.799487
RASA3,0.7923504
PNRC1,0.79100764
