cellid	pop
cell_4	1
cell_6	1
cell_8	1
cell_10	1
cell_14	1
cell_16	1
cell_18	1
cell_19	1
cell_20	1
cell_21	1
cell_22	1
cell_23	1
cell_26	1
cell_27	1
cell_29	1
cell_31	1
cell_38	1
cell_41	1
cell_42	1
cell_43	1
cell_45	1
cell_47	1
cell_49	1
cell_50	1
cell_53	1
cell_55	1
cell_60	1
cell_61	1
cell_64	1
cell_67	1
cell_68	1
cell_70	1
cell_72	1
cell_76	1
cell_78	1
cell_79	1
cell_82	1
cell_83	1
cell_87	1
cell_89	1
cell_91	1
cell_92	1
cell_94	1
cell_95	1
cell_96	1
cell_97	1
cell_98	1
cell_99	1
cell_100	1
cell_101	1
cell_106	1
cell_107	1
cell_109	1
cell_110	1
cell_112	1
cell_114	1
cell_115	1
cell_116	1
cell_118	1
cell_119	1
cell_120	1
cell_122	1
cell_123	1
cell_124	1
cell_125	1
cell_126	1
cell_127	1
cell_128	1
cell_129	1
cell_130	1
cell_134	1
cell_136	1
cell_137	1
cell_138	1
cell_140	1
cell_141	1
cell_143	1
cell_144	1
cell_146	1
cell_147	1
cell_149	1
cell_152	1
cell_153	1
cell_154	1
cell_155	1
cell_156	1
cell_157	1
cell_164	1
cell_165	1
cell_166	1
cell_170	1
cell_171	1
cell_172	1
cell_173	1
cell_174	1
cell_176	1
cell_180	1
cell_181	1
cell_183	1
cell_184	1
cell_185	1
cell_186	1
cell_187	1
cell_189	1
cell_190	1
cell_192	1
cell_193	1
cell_195	1
cell_196	1
cell_198	1
cell_199	1
cell_201	1
cell_202	1
cell_209	1
cell_213	1
cell_218	1
cell_219	1
cell_221	1
cell_223	1
cell_229	1
cell_233	1
cell_236	1
cell_240	1
cell_242	1
cell_244	1
cell_251	1
cell_252	1
cell_254	1
cell_257	1
cell_258	1
cell_259	1
cell_262	1
cell_263	1
cell_264	1
cell_266	1
cell_267	1
cell_272	1
cell_275	1
cell_276	1
cell_278	1
cell_283	1
cell_285	1
cell_286	1
cell_288	1
cell_289	1
cell_292	1
cell_294	1
cell_295	1
cell_296	1
cell_297	1
cell_298	1
cell_299	1
cell_301	1
cell_302	1
cell_303	1
cell_304	1
cell_305	1
cell_306	1
cell_307	1
cell_308	1
cell_309	1
cell_310	1
cell_311	1
cell_312	1
cell_313	1
cell_322	1
cell_323	1
cell_325	1
cell_326	1
cell_327	1
cell_328	1
cell_331	1
cell_335	1
cell_337	1
cell_340	1
cell_341	1
cell_342	1
cell_345	1
cell_347	1
cell_348	1
cell_349	1
cell_352	1
cell_353	1
cell_354	1
cell_355	1
cell_356	1
cell_357	1
cell_358	1
cell_361	1
cell_362	1
cell_363	1
cell_364	1
cell_365	1
cell_367	1
cell_368	1
cell_369	1
cell_370	1
cell_371	1
cell_374	1
cell_376	1
cell_377	1
cell_378	1
cell_379	1
cell_382	1
cell_383	1
cell_386	1
cell_387	1
cell_392	1
cell_395	1
cell_398	1
cell_401	1
cell_402	1
cell_403	1
cell_404	1
cell_405	1
cell_407	1
cell_409	1
cell_412	1
cell_414	1
cell_417	1
cell_418	1
cell_419	1
cell_423	1
