,factor_4
chr11_111416304_111418888,0.95844
chr2_45728315_45730452,0.953133
chr9_37032633_37038542,0.9287545
chr3_16370723_16375686,0.92609143
chr13_50593753_50595273,0.9258984
chr12_26155744_26157040,0.917648
chr7_18566549_18567457,0.9168886
chr7_18508200_18510033,0.9153501
chr14_22383217_22384915,0.91501784
chr5_122701590_122702956,0.9100773
chr2_100394073_100395735,0.9057851
chr11_3893783_3895303,0.9039705
chrX_1500634_1502954,0.9025186
chr9_36993600_36994905,0.891769
chr4_114598101_114600022,0.8877841
chr2_100234841_100235790,0.87753826
chr2_47723954_47725092,0.8711829
chr11_75689132_75690803,0.8708285
chr1_93692231_93693976,0.86802244
chr21_36253414_36256154,0.86718225
chr1_66399765_66402745,0.86659294
chr5_17224638_17225616,0.8658606
chr22_22110726_22111893,0.86561704
chr6_14134212_14142466,0.864102
chr5_17216053_17219362,0.86362326
chr21_37207470_37209337,0.86121887
chr15_99501992_99502927,0.8601624
chr4_2696321_2697034,0.857666
chr1_160789129_160791011,0.85729516
chr20_44585054_44586808,0.85675246
chr11_117189094_117190179,0.8548046
chr7_47937191_47938658,0.85179615
chr1_66379996_66381828,0.8466212
chr2_100247274_100248384,0.8445105
chr7_35728851_35731160,0.8443553
chr10_12074874_12075622,0.844329
chr2_68689546_68690660,0.84415287
chr11_130165767_130166971,0.8435296
chr18_59959382_59961681,0.84302646
chr12_14613591_14615292,0.8428015
chr5_112522784_112524521,0.8417541
chr6_148757882_148762088,0.84092325
chr6_42024103_42029114,0.8396589
chr1_93703637_93704764,0.838017
chr3_58196316_58197139,0.83705443
chr5_1484702_1485732,0.83653885
chr1_160488037_160490001,0.8360002
chr8_125601607_125603010,0.83509314
chr5_10630659_10636719,0.83355194
chr1_172390338_172391776,0.8335498
chr11_44600680_44602534,0.8333636
chr20_47411895_47413282,0.8324047
chr14_75514151_75516147,0.832188
chr20_47414698_47417181,0.8316855
chr3_57068225_57069201,0.83124125
chr9_35718976_35719715,0.830809
chr4_140742300_140743966,0.8290311
chr17_16987728_16990553,0.8278334
chr4_140755548_140757561,0.82716566
chr16_81500714_81501900,0.82515806
chr15_41928913_41929776,0.8247936
chr1_66395210_66397773,0.8244542
chr10_12077549_12078717,0.8233291
chr7_20219351_20221584,0.8225281
chr19_4228889_4230152,0.82160664
chr3_20125573_20126972,0.8212512
chr17_27216458_27218325,0.81981826
chr4_39609257_39610100,0.8172272
chr10_62079861_62081778,0.8171342
chr4_140789637_140791420,0.816999
chr7_20199203_20201884,0.81662476
chr10_61998919_62002433,0.81655556
chr7_18520299_18522497,0.8153508
chr7_18537842_18539281,0.8153383
chr17_16980487_16981766,0.81523603
chr6_11374000_11375085,0.81297624
chr20_1897484_1898588,0.8129643
chr7_23410278_23411177,0.8126778
chr9_33140599_33144165,0.8115281
chr3_119562164_119563275,0.8109781
chr5_1503080_1504883,0.81057054
chr8_102978275_102980195,0.809752
chr22_46586883_46588295,0.80971295
chr8_8752760_8753565,0.8093378
chr16_81808779_81811410,0.80921555
chr11_95715096_95716753,0.80794245
chr14_68741084_68742448,0.8072404
chr4_78638063_78639271,0.80717117
chr3_134224068_134224976,0.8062133
chr2_112707745_112709287,0.8052177
chr12_116536900_116538508,0.8035035
chr3_143528633_143530162,0.80083865
chr13_50635314_50636406,0.80050385
chr5_1497191_1499604,0.80008316
chr3_119627329_119629622,0.79907143
chr15_52465926_52466791,0.7984074
chr6_159116166_159118068,0.79839027
chr22_22167652_22168826,0.79672456
chr3_169945113_169945952,0.7958412
chr3_16430885_16431956,0.7956528
