,score
IRX2,1.0416476852690586
FEV,1.0364310854026542
ARX,1.0340204154722095
PCSK2,1.0108655798058237
VGF,0.9885509624525852
TTR,0.9769240689262162
CHGB,0.9578712435930612
FXYD6,0.9536724096984166
F10,0.9531159812748236
PTPRT,0.9467796553651198
SMOC1,0.9451888072035004
CRYBA2,0.9402459519949247
CALY,0.9387055407550697
SLC22A17,0.937749635356667
VSTM2L,0.9344562317958527
LOXL4,0.9327140116692973
SLC38A4,0.9285422970797264
RGS4,0.9269772835241987
C5orf38,0.9261917401227429
PAPPA2,0.9182219443096393
KCTD12,0.9147293868721427
KCNA5,0.902769966610574
GPX3,0.8977744825552492
CHGA,0.875015582280426
GCG,0.8715984543063477
CACNA2D2,0.8651025088807849
SPTSSB,0.8596723893578364
PCSK1N,0.8594843540052075
FAP,0.8536022606385814
FSTL5,0.8498040140742447
TMEM176A,0.8496308047663668
CACNA1A,0.8469466338730527
PLCE1,0.8462911016933674
CRH,0.8398194933818317
VWA5B2,0.8386856748015425
SCG2,0.8380777129140426
CELF3,0.8370360914600781
KLHL41,0.8337614638168702
CFC1,0.832453688694148
POPDC3,0.8256364122796533
DPP4,0.8221536920323054
CNIH2,0.8111789227254569
TM4SF4,0.8100155074547146
PTPRN2,0.8055842508463442
MARCH4,0.8026692621013432
CD99L2,0.8021795264986338
FAM84A,0.8019187172465756
KCNJ3,0.8016652404944473
SLC8A2,0.7988031951953971
PGR,0.7918663062175355
SCG5,0.7895595034650036
GRIA3,0.7831018264966474
PPP1R1A,0.782226625942883
LGI3,0.7806931246695541
KCNJ6,0.7770154656708961
PTP4A3,0.7759949786040607
MAFB,0.7759563241981731
ADCY1,0.7748629568050553
TMEM176B,0.7742732462489634
SEZ6L,0.7691201808394936
PEMT,0.7640900355053191
FAM131C,0.759441118497417
GADD45G,0.7594186273005334
RIMBP2,0.7592169854835333
CPE,0.7566027688789063
FBLL1,0.7565863311418859
RAB26,0.754490248347448
GC,0.7456312531550502
SSTR1,0.7432787651116151
GRM4,0.742136517576288
C2CD4A,0.7411376530791216
CPLX1,0.7385779237512367
CACNA1C,0.7358624478568565
TMEM74B,0.7330410520556612
SV2A,0.7305043251543815
PTPRN,0.7291682195669082
LHFPL4,0.721511651302599
APLP1,0.7199974015664345
GCNT1,0.7171576193518412
SSTR2,0.7161420759877046
PPP1R3F,0.7157946689450156
AP3B2,0.7153608548077415
MAPK8IP2,0.7141317970273988
SERPINA1,0.7120266728169327
SPRED3,0.7082596023872334
SLC29A4,0.7074146632652472
TOX3,0.7066522019851114
SLC7A8,0.7061367843860076
NPHP4,0.7057495984701347
RNF150,0.700328783309093
HECW2,0.6981260707317603
CNTN1,0.6966652890021834
CAND2,0.6918061417319628
FABP5,0.6886338994133183
HS6ST3,0.6871502295547636
TMEM61,0.685945387252012
KCNMA1,0.6841683989991125
PSD,0.6837427368632696
NFASC,0.6835853460875754
GRIK5,0.6825280836446943
TMEM132D,0.68188839553207
RGS11,0.6810606977354094
SLC7A2,0.6802265052869814
NEUROD1,0.6775319814443037
KIAA1324,0.676950457918597
GCH1,0.675014255482214
ENPP2,0.6711967152894402
ASPHD1,0.670986071024803
KLHL3,0.6684634574515087
LRRC4,0.6666365587879106
PDK3,0.6602576039225205
MAP7D2,0.6598192158066265
CPLX2,0.659540416819528
FAM69B,0.6594742650020322
FOXP4,0.6535507810278283
SDK1,0.65353089166301
TMEM59L,0.6525442495722196
PAX6,0.6522771853533129
ALDH1A1,0.6464333867968826
GNAZ,0.6458641606960498
SERPINE2,0.6449644020859928
FXYD3,0.6431573394284982
BEX1,0.64197109455937
TSPAN7,0.6415038768338768
MRAP2,0.6385650061861394
KCNC4,0.6380968665269737
QDPR,0.6352884923719202
EMC10,0.6349816078627413
KCNK3,0.6343470307113108
SYT5,0.6342141335759877
PLK2,0.6324486343497444
SCGB2A1,0.6300025987013917
RFX6,0.6294941930138336
QPCT,0.6287712732658655
FXYD5,0.6284148895583428
FBXO2,0.628399252994587
FOXJ1,0.6282615525092758
RTN1,0.625456457662434
SERPINA6,0.6201844619299663
SLC30A8,0.6184689172679718
ISL1,0.6168093001502832
CLPS,0.6161149784955526
METRN,0.6121859382577988
RGS7,0.6102699878845002
FBXL16,0.6095728960923097
BAIAP3,0.6092432345875061
HSD17B14,0.6085640277341433
SEZ6L2,0.605159734833812
DPP6,0.6037909057803574
NPDC1,0.6004668320909445
CLU,0.5984230044050278
KCNMB2,0.5981324267518389
NPNT,0.5969195655569521
RHOB,0.5932583264168017
TMEM63C,0.5920501272758649
STMN2,0.5906605727344747
WNT4,0.5905414800829867
PREX1,0.590194880489058
PEG10,0.5899186107869312
RUNDC3A,0.5894744856736303
PAM,0.5877297572882263
PELI3,0.5876387019084888
STMN3,0.5867072648148941
CELA3A,0.5862303652592331
CRIP1,0.5848614339223523
RAB3B,0.5829871975387313
DNM1,0.5828143448652376
C2CD4B,0.5808335878900692
SYT7,0.5806715713853947
CELA3B,0.5789565658683138
PCDH17,0.5778589017409317
CAMK2B,0.5736658830382986
RGS9,0.5734858763892738
CLIP3,0.5731669458477668
INSM1,0.5723092578254558
NTRK2,0.5722588959513395
KCNH2,0.5713038086467712
NENF,0.5710140200350011
AGT,0.5705900509771062
PDK4,0.5705108220208075
SEPT6,0.5700263505896217
PHLDB3,0.56970973456961
GPC6,0.5695566605343494
NBEAL2,0.5691849181978128
GNG4,0.5691013836356618
A1CF,0.5683236518104628
CDK5R2,0.5658426951784925
TCEAL2,0.5613105990767906
CELSR3,0.5603215619596185
GNAO1,0.5600170445746961
HSPB1,0.5588835063258557
KIF12,0.5586641494913813
TMEM164,0.5575813263174076
PNLIPRP1,0.5563302116469053
EEF1A2,0.5553465506081245
CTRB1,0.5538898122058313
MUC13,0.5505767245016386
PAK3,0.5487926147747118
ACTN4,0.5468463455900228
