,cluster_5
NAT14,0.42749447
THAP4,0.42456672
TRIM44,0.45282507
SGCB,0.5767844
CLDN12,0.4023438
MFAP1,0.47528976
BLOC1S4,0.55461025
SUN2,0.5079781
RBP1,0.451937
ITGB1,0.5328842
SLC39A11,0.4377764
ZNF143,0.50030786
ICMT,0.544378
CYB561D1,0.44507763
MADD,0.4342712
HPS6,0.48630393
HSDL2,0.44584194
PRELID1,0.5313818
MRPL44,0.5165213
KRT19,0.51064163
DESI1,0.5403498
PRCC,0.4978091
ABCE1,0.5546257
CHORDC1,0.5145469
LOXL2,0.7531328
RPL36A,0.51273805
GOT1,0.4818494
FAM20B,0.44337022
PINK1,0.46554342
ELAC1,0.45102426
SLU7,0.5012632
IWS1,0.48799652
HNF4A,0.31497926
DSTYK,0.4960077
TOR2A,0.44467705
MAPK14,0.55583096
ENO1,0.60626405
MFSD5,0.54729086
GCFC2,0.40983242
FERMT2,0.69198155
TRIB1,0.4551963
NEURL4,0.42844987
ANKRD13D,0.45464477
FAM217B,0.5164544
ATP6V0A2,0.5693051
CSK,0.5528003
IFT57,0.43518448
BLVRB,0.3826383
MAP2K2,0.50231284
PSKH1,0.48509106
