,cluster_3
NAT14,0.20482908
THAP4,0.3351404
TRIM44,0.3473874
SGCB,0.24677867
CLDN12,0.3498319
MFAP1,0.35649934
BLOC1S4,0.3751071
SUN2,0.38457146
RBP1,0.5267342
ITGB1,0.5434703
SLC39A11,0.3007389
ZNF143,0.28177646
ICMT,0.262233
CYB561D1,0.3111158
MADD,0.2026849
HPS6,0.34485817
HSDL2,0.2715763
PRELID1,0.28743434
MRPL44,0.37312838
KRT19,0.7188303
DESI1,0.3077055
PRCC,0.3221688
ABCE1,0.2531761
CHORDC1,0.18626252
LOXL2,0.15637286
RPL36A,0.24700424
GOT1,0.37841007
FAM20B,0.25704792
PINK1,0.35403174
ELAC1,0.24771562
SLU7,0.28665328
IWS1,0.33122173
HNF4A,0.30383578
DSTYK,0.30276355
TOR2A,0.26854184
MAPK14,0.3012117
ENO1,0.4609987
MFSD5,0.36047527
GCFC2,0.2351553
FERMT2,0.30048537
TRIB1,0.4304214
NEURL4,0.252619
ANKRD13D,0.26164165
FAM217B,0.24039401
ATP6V0A2,0.26082718
CSK,0.31575206
IFT57,0.35789296
BLVRB,0.37000036
MAP2K2,0.26385194
PSKH1,0.29215452
