,cluster_2
NAT14,0.28371868
THAP4,0.369778
TRIM44,0.46306726
SGCB,0.33272514
CLDN12,0.62091374
MFAP1,0.44116324
BLOC1S4,0.46892056
SUN2,0.44028214
RBP1,0.52752733
ITGB1,0.44900715
SLC39A11,0.55828595
ZNF143,0.42776087
ICMT,0.40224528
CYB561D1,0.37403202
MADD,0.2824511
HPS6,0.47545758
HSDL2,0.4628007
PRELID1,0.57917905
MRPL44,0.5025767
KRT19,0.49641478
DESI1,0.5522991
PRCC,0.42876494
ABCE1,0.4606983
CHORDC1,0.38053426
LOXL2,0.33159617
RPL36A,0.7194393
GOT1,0.40660223
FAM20B,0.39688858
PINK1,0.46096164
ELAC1,0.41137573
SLU7,0.41553587
IWS1,0.43535486
HNF4A,0.5404822
DSTYK,0.38029405
TOR2A,0.4519534
MAPK14,0.42596793
ENO1,0.550911
MFSD5,0.48128048
GCFC2,0.36984876
FERMT2,0.40018925
TRIB1,0.5924988
NEURL4,0.3666056
ANKRD13D,0.37572214
FAM217B,0.39366832
ATP6V0A2,0.40450957
CSK,0.49003646
IFT57,0.5116673
BLVRB,0.66592944
MAP2K2,0.46893263
PSKH1,0.4458064
