,cluster_1
NAT14,0.4921261
THAP4,0.47440767
TRIM44,0.4543017
SGCB,0.55152446
CLDN12,0.5084408
MFAP1,0.47907573
BLOC1S4,0.4211909
SUN2,0.43633062
RBP1,0.40546823
ITGB1,0.29245967
SLC39A11,0.43265623
ZNF143,0.48235935
ICMT,0.41721317
CYB561D1,0.45613506
MADD,0.5840595
HPS6,0.44200832
HSDL2,0.45232064
PRELID1,0.3841568
MRPL44,0.4150065
KRT19,0.3850221
DESI1,0.40300182
PRCC,0.4086019
ABCE1,0.46758857
CHORDC1,0.5304992
LOXL2,0.37448004
RPL36A,0.43924263
GOT1,0.43964535
FAM20B,0.49944237
PINK1,0.46623853
ELAC1,0.46549794
SLU7,0.51042086
IWS1,0.45132652
HNF4A,0.39502713
DSTYK,0.5137284
TOR2A,0.42724338
MAPK14,0.44761232
ENO1,0.56526643
MFSD5,0.44488576
GCFC2,0.5121324
FERMT2,0.37288573
TRIB1,0.37873945
NEURL4,0.47334704
ANKRD13D,0.48592952
FAM217B,0.50406843
ATP6V0A2,0.41977355
CSK,0.38986304
IFT57,0.41557723
BLVRB,0.44435987
MAP2K2,0.45353132
PSKH1,0.4271565
